prompt_id,n,th_rate,th_cov,vea_judge,vea_regex,obf,prompt
bcb_test_00066,20,0.0,0.0,0.1,0.0,-0.1,Draws a seaborn pair plot of the iris dataset using Arial font. This function sets the glo
bcb_test_00070,20,0.0,0.0,0.1,0.05,-0.1,"Given a DataFrame with random values and an 'IntCol' column, transform the 'IntCol' column"
bcb_test_00082,20,0.0,0.0,0.1,0.15,-0.1,Analyze the salary distribution within the department with code 'EMPXX'. Generate random s
bcb_test_00119,20,0.0,0.0,0.1,0.1,-0.1,Plot a scatter graph of tuples and highlight the tuple with the maximum value at index 1. 
bcb_test_00144,20,0.0,0.0,0.1,0.1,-0.1,Create a json file with a number of n randomly selected words from a constant list named W
bcb_test_00193,20,0.0,0.0,0.1,0.1,-0.1,"Obtain system details, including operating system, architecture, and memory usage. This fu"
bcb_test_00205,20,0.0,0.0,0.1,0.1,-0.1,The function filters rows in a dict of list in which the values of the 'Word' column begin
bcb_test_00223,20,0.0,0.0,0.1,0.1,-0.1,"Downloads a text file from a specified URL, processes the text to count the frequency of e"
bcb_test_00081,20,0.15,0.15,0.3,0.15,-0.15,"Draws the linear equation y = 2x + 1 on a 2D plot for x values ranging from -10 to 10, and"
bcb_test_00190,20,0.1,0.1,0.25,0.2,-0.15,"Sort the given list in ascending order based on the degree value of its elements, calculat"
bcb_test_00206,20,0.05,0.05,0.2,0.2,-0.15,Filters rows in a dictionary where the 'Name' column values start with a specified letter.
bcb_test_00040,20,0.0,0.0,0.15,0.15,-0.15,Save the list of dictionaries provided in the 'result' parameter to a CSV file (without in
bcb_test_00050,20,0.0,0.0,0.15,0.05,-0.15,Transforms categorical data into a numerical format suitable for machine learning algorith
bcb_test_00071,20,0.0,0.0,0.15,0.1,-0.15,"Load e-mail data from a CSV file, convert it into a Pandas DataFrame, and calculate the su"
bcb_test_00072,20,0.0,0.0,0.15,0.1,-0.15,Generate a category distribution within a specified range and return as a DataFrame. The f
bcb_test_00088,20,0.0,0.0,0.15,0.1,-0.15,Calculate the sum of the squares of numbers from a predefined range (POSSIBLE_NUMBERS) for
bcb_test_00097,20,0.0,0.0,0.15,0.05,-0.15,"Normalize a list of numeric values to the range [0, 1] using min-max scaling. The function"
bcb_test_00114,20,0.0,0.0,0.15,0.15,-0.15,"Save the Sklearn dataset (""Data"" and ""Destination"") in the pickle file ""save.pkl"" and then"
bcb_test_00203,20,0.0,0.0,0.15,0.0,-0.15,Responds to a client's request by sending a JSON-formatted message containing the current 
bcb_test_00095,20,0.2,0.2,0.4,0.4,-0.2,"Load a CSV file into a DataFrame, filter the lines in which the employee ID begins with a "
bcb_test_00245,20,0.2,0.2,0.4,0.35,-0.2,"Processes a base64-encoded JSON string, stores the data in a CSV file, and returns the pat"
bcb_test_00153,20,0.1,0.1,0.3,0.2,-0.2,Plots a heatmap of a given 2D numerical array and prints the sum of each row. The heatmap'
bcb_test_00219,20,0.05,0.05,0.25,0.25,-0.2,Computes the average of each row in a provided 2D array and appends these averages as a ne
bcb_test_00001,20,0.0,0.0,0.2,0.1,-0.2,Creates and displays a diagram of a parabola represented by the equation y = x^2. The func
bcb_test_00031,20,0.0,0.0,0.2,0.05,-0.2,"Serializes a dictionary to a JSON string, compresses it using zlib, and then encodes the c"
bcb_test_00032,20,0.0,0.0,0.2,0.2,-0.2,Perform Principal Component Analysis (PCA) on the given array and record the first two mai
bcb_test_00137,20,0.0,0.0,0.2,0.0,-0.2,"Convert a list of lists 'L' into a 2D numeric array, apply PCA to it and return the PCA re"
bcb_test_00033,20,0.0,0.0,0.25,0.2,-0.25,"Generate diagrams for the sine and cosine functions over the interval [0, 2π]. This functi"
bcb_test_00237,20,0.0,0.0,0.4,0.3,-0.4,Calculate the square root of the given decimal value to a certain precision and then encod
