prompt_id,base_th,r260_th,d_th,base_vea,r260_vea,d_vea,target,prompt
bcb_test_00232,0.05,0.05,0.0,0.25,0.05,-0.2,0,Apply a Gaussian filter to a given image and draw the original and filtered imag
bcb_test_00117,0.05,0.0,-0.05,0.2,0.0,-0.2,0,Constructs a DataFrame that enumerates the character counts of each string in a 
bcb_test_00159,0.05,0.0,-0.05,0.25,0.05,-0.2,0,"Reads from a given file pointer to a JSON file, evaluates strings that represent"
bcb_test_00189,0.05,0.0,-0.05,0.2,0.0,-0.2,0,Converts a datetime string from a given timezone to a datetime string in a rando
bcb_test_00223,0.1,0.0,-0.1,0.3,0.1,-0.2,0,"Downloads a text file from a specified URL, processes the text to count the freq"
bcb_test_00099,0.15,0.4,0.25,0.2,0.0,-0.2,0,"Stem every word in a sentence, except the last, and count the frequency of each "
bcb_test_00008,0.3,0.0,-0.3,0.25,0.05,-0.2,0,Generates an HMAC (Hash-based Message Authentication Code) signature for a given
bcb_test_00047,1.0,1.0,0.0,0.2,0.05,-0.15,0,Converts a 2D list into a pandas DataFrame and applies PCA for dimensionality re
bcb_test_00075,0.0,0.0,0.0,0.15,0.0,-0.15,0,Validates the HMAC SHA-1 signature of a base64-encoded message against a provide
bcb_test_00208,0.0,0.0,0.0,0.15,0.0,-0.15,0,"Makes an HTTPS GET request to a specified server and path, and retrieves the res"
bcb_test_00080,0.1,0.05,-0.05,0.15,0.0,-0.15,0,Compares the contents of two gzip files and returns a string describing the diff
bcb_test_00229,0.05,0.0,-0.05,0.15,0.0,-0.15,0,Create a generator object that generates a sequence of tuples. Each tuple contai
bcb_test_00091,0.1,0.0,-0.1,0.15,0.0,-0.15,0,"Perform linear regression to ""x,"" ""y,"" against ""z"" from a list of dictionaries """
bcb_test_00196,0.1,0.0,-0.1,0.15,0.0,-0.15,0,Plot values from a list of dictionaries based on specified keys and return the p
bcb_test_00043,0.2,0.0,-0.2,0.15,0.0,-0.15,0,Generate a list containing random strings of lowercase letters. Each string's le
bcb_test_00148,0.3,0.55,0.25,0.15,0.0,-0.15,0,"Retrieves user information from the GitHub API for a given username, normalizes "
bcb_test_00103,1.0,1.0,0.0,0.25,0.15,-0.1,0,Determines if a specific subset of data is stationary by filtering rows where co
bcb_test_00210,0.0,0.0,0.0,0.1,0.0,-0.1,0,Writes a list of OrderedDicts to an Excel file. Each OrderedDict in the list rep
bcb_test_00226,0.05,0.05,0.0,0.1,0.0,-0.1,0,"Fetches the content of a webpage specified by its URL, parses it to find <script"
bcb_test_00233,0.0,0.0,0.0,0.1,0.0,-0.1,0,"Processes a dataset containing salary information and experience, then plots nor"
bcb_test_00216,0.11,0.05,-0.06,0.1,0.0,-0.1,0,Generates a DataFrame with random numerical data and visualizes this data in a s
bcb_test_00090,0.1,0.0,-0.1,0.1,0.0,-0.1,0,Reads all files with a specified extension in a given directory and returns thei
bcb_test_00034,0.15,0.3,0.15,0.3,0.2,-0.1,0,Perform Principal Component Analysis (PCA) on the dataframe and visualize the tw
bcb_test_00174,0.05,0.6,0.55,0.15,0.05,-0.1,0,Draws a pie chart of the status distribution from a pandas DataFrame with a 'Sta
bcb_test_00115,0.0,0.0,0.0,0.05,0.0,-0.05,0,"Aggregate the values of the same keys from a nested dictionary and remove the ""e"
bcb_test_00143,0.0,0.0,0.0,0.05,0.0,-0.05,0,Sorts a given dictionary by its keys in ascending order and returns a PrettyTabl
bcb_test_00109,0.06,0.1,0.04,0.05,0.0,-0.05,0,Compares two files to determine if they are identical by computing and comparing
bcb_test_00098,0.05,0.0,-0.05,0.1,0.05,-0.05,0,import pandas as pd Train a random forest classifier to perform the classificati
bcb_test_00030,0.15,0.0,-0.15,0.05,0.0,-0.05,0,Generate a number of random lowercase letters and count their occurrences. This 
bcb_test_00202,0.31,0.0,-0.31,0.05,0.0,-0.05,0,Generates a DataFrame filled with random integers. The dimensions of the DataFra
bcb_test_00010,0.0,0.0,0.0,0.0,0.0,0.0,0,Count the frequency of each alphanumeric character in a given string after remov
bcb_test_00145,0.0,0.0,0.0,0.0,0.0,0.0,0,Serializes an object into a JSON string with support for complex data types like
bcb_test_00153,0.1,0.1,0.0,0.3,0.3,0.0,0,Plots a heatmap of a given 2D numerical array and prints the sum of each row. Th
bcb_test_00171,0.0,0.0,0.0,0.0,0.0,0.0,0,"Serializes an object to a JSON string, handling complex data types through a cus"
bcb_test_00241,0.08,0.0,-0.08,0.0,0.0,0.0,0,"Perform a paired t-test for the number of words in two strings, only if the stri"
bcb_test_00125,0.0,0.1,0.1,0.0,0.0,0.0,0,Draw a pie chart of the number of unique values in a given DataFrame column with
bcb_test_00111,0.1,0.55,0.45,0.0,0.0,0.0,0,Perform K-Means clustering on the given DataFrame using the sklearn KMeans algor
bcb_test_00176,0.05,0.1,0.05,0.05,0.1,0.05,0,Reads data from a CSV file and generates a bar plot based on grouped mean values
bcb_test_00013,1.0,1.0,0.0,0.15,0.25,0.1,0,Query an SQLite database and return the results. This function connects to a giv
